name,type,category,sunlight,maintenance,space,growTime,description,tips,image_url,features
Lettuce,vegetable,leafy_green,low,low,small,30-45 days,Fast-growing leafy green that tolerates shade,"Harvest outer leaves first, Keep soil moist, Perfect for containers",https://images.unsplash.com/photo-1622206151226-18ca2c9ab4a1?w=300&h=200&fit=crop,"salad,quick_growing,beginner_friendly"
Spinach,vegetable,leafy_green,low,low,small,40-50 days,Nutritious leafy green for shaded areas,"Cool weather crop, Harvest baby leaves, Succession plant",https://images.unsplash.com/photo-1576045057995-568f588f82fb?w=300&h=200&fit=crop,"salad,superfood,low_maintenance"
Green Onions,vegetable,allium,low,low,small,60-90 days,Easy to grow regrows from kitchen scraps,"Regrows from roots, Harvest green tops, Very low maintenance",https://images.unsplash.com/photo-1553395572-0b35b5d9b9b5?w=300&h=200&fit=crop,"regrowable,cooking_essential,beginner_friendly"
Kale,vegetable,leafy_green,low,low,medium,50-65 days,Hardy superfood that grows in partial shade,"Cold tolerant, Harvest outer leaves, Grows well in containers",https://images.unsplash.com/photo-1515543237350-b3eea1ec8082?w=300&h=200&fit=crop,"superfood,salad,smoothie_ingredient"
Swiss Chard,vegetable,leafy_green,low,low,medium,45-60 days,Colorful leafy green with edible stems,"Cut and come again, Colorful varieties, Heat tolerant",https://images.unsplash.com/photo-1551754655-cd27e38d2076?w=300&h=200&fit=crop,"colorful,salad,cooking_vegetable"
Asian Greens,vegetable,leafy_green,low,low,medium,30-50 days,Bok choy pak choi fast growing Asian vegetables,"Quick harvest, Cool season crop, Great in stir-fries",https://images.unsplash.com/photo-1590736969955-71cc94901144?w=300&h=200&fit=crop,"asian_cuisine,quick_growing,stir_fry"
Rhubarb,vegetable,perennial,low,medium,large,365+ days,Perennial vegetable with tart edible stalks,"Perennial crop, Harvest stalks not leaves, Needs winter chill",https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=300&h=200&fit=crop,"perennial,tart_flavor,baking_ingredient"
Asparagus,vegetable,perennial,low,medium,large,730+ days,Long-term perennial vegetable investment,"Takes 2-3 years to establish, Harvest spears in spring, Long-lived crop",https://images.unsplash.com/photo-1509963725-c8b3c0e7b5c0?w=300&h=200&fit=crop,"perennial,spring_vegetable,long_term_investment"
Jerusalem Artichoke,vegetable,tuber,low,medium,large,120-150 days,Sunflower relative with edible tubers,"Tall plants, Harvest tubers in fall, Can spread aggressively",https://images.unsplash.com/photo-1574316071802-0d684efa7bf5?w=300&h=200&fit=crop,"perennial,fall_harvest,unique_flavor"
Cherry Tomatoes,fruit,solanaceae,partial,low,small,60-80 days,Small sweet tomatoes perfect for containers,"Easier than large tomatoes, Harvest frequently, Support with stakes",https://images.unsplash.com/photo-1592841200221-21e1c4e6e8e5?w=300&h=200&fit=crop,"container_friendly,sweet_flavor,snacking"
